 ,                             ,                        ,                     ,                                                                    ,
 ,'EQUIPO'                     ,'MODELO'                ,'No SERIE'           ,'DESCRIPCIÓN'                                                       ,'FECHA'
 ,'Caminadora integrity'       ,'wls cll179135'         ,                     ,'Mantenimiento'                                                     ,6/26/2019
 ,'Cross trainer integrity'    ,'nls cxx143851'         ,                     ,'Mantenimiento'                                                     ,6/26/2019
 ,'Cross trainer integrity'    ,'nls cxx143845'         ,                     ,'Mantenimiento'                                                     ,6/26/2019
 ,'Leg press '                 ,'hsllp'                 ,'nshsllp0319b077'    ,'Cambio de empuñadura (por garantia)'                               ,7/24/2019
 ,'Banco multiposiciones'      ,'hdt-mab'               ,'ns190315hdtmab005d' ,'Cambio de acojinamiento (por garantia)'                            ,7/24/2019
 ,'30 plyos'                   ,                        ,                     ,'Cambio físico'                                                     ,7/30/2019
 ,'Stack de peso (cross over)' ,                        ,'bbeni13130092'      ,'Pintura'                                                           ,7/31/2019
 ,'Stack de peso (cross over)' ,                        ,'bbeni13130034'      ,'Pintura'                                                           ,7/31/2019
 ,'Stack de peso (cross over)' ,                        ,                     ,'Pintura'                                                           ,7/31/2019
 ,'4 plataformas power racks'  ,                        ,                     ,'Pintura'                                                           ,7/31/2019
 ,'HS-PEC'                     ,                        ,                     ,'Ajuste de selector'                                                ,8/6/2019
 ,'Banco olimpico'             ,                        ,                     ,'Ajuste de selector'                                                ,8/6/2019
 ,'C.T HXX110595'              ,                        ,                     ,'Ajuste de tapa'                                                    ,8/6/2019
 ,'Smit machine'               ,                        ,                     ,'Lubricación '                                                      ,8/6/2019
 ,'Plataforma power rack'      ,                        ,                     ,'Cambio físico'                                                     ,8/12/2019
 ,'Acrilicos precor'           ,                        ,                     ,'Instalación'                                                       ,8/12/2019
 ,'30 pzas plyos'              ,                        ,                     ,'cambio físico'                                                     ,8/12/2019
 ,'Abdominal cruch'            ,                        ,                     ,'Revisión; ajuste de tornilleria'                                   ,8/12/2019
 ,'2 power mill'               ,                        ,                     ,'Revisión por fallaen carga electrica'                              ,8/14/2019
 ,'Hip & glute'                ,                        ,                     ,'Ajuste por ruido'                                                  ,8/14/2019
 ,'Dip/chin asist'             ,'ncsss-adc031913026'    ,                     ,'Revisión por cable dañado'                                         ,8/14/2019
 ,'Caminadora integrity'       ,'nlshht121897'          ,'hct110152'          ,'Revisión por pantalla dañada'                                      ,8/14/2019
 ,'3 Precor (doble polea)'     ,                        ,                     ,'Instalación de tornillos y calcomanias'                            ,8/14/2019
 ,'Bicicleta spinning'         ,                        ,                     ,'Instalacion de tablero'                                            ,8/16/2019
 ,'Precor'                     ,                        ,                     ,'Cambio de acrilico'                                                ,8/16/2019
 ,'Power rack (GB)'            ,                        ,                     ,'Cambio de tabla'                                                   ,8/16/2019
 ,'Equipos de peso integrado'  ,                        ,                     ,'Ajuste'                                                            ,8/22/2019
 ,'Pectoral fly'               ,                        ,                     ,'Ajuste y lubricación de tornillos'                                 ,8/22/2019
 ,'Abdominal cruch'            ,'s/fzab0314b01'         ,                     ,'Lubricación '                                                      ,8/22/2019
 ,'Hip & glute'                ,'s/pshgse'              ,                     ,'Ajuste de eje; guias'                                              ,8/22/2019
 ,'Gluteo'                     ,                        ,                     ,'Ajuste de chumaceras'                                              ,8/22/2019
 ,'Calf extension'             ,                        ,                     ,'Lubricación de guias'                                              ,8/22/2019
 ,'Leg curl'                   ,                        ,                     ,'Ajuste de chumaceras; lubricación de guias; ajuste de tornilleria' ,8/22/2019
 ,'Cross trainer integrity'    ,'nshxx110596'           ,                     ,'Ajuste de tapas '                                                  ,9/5/2019
 ,'Bicileta spinningn'         ,'1c5 nsfcqb0018226-19a' ,                     ,'Calibración de sistema de nivel'                                   ,9/5/2019
 ,'Leg curl'                   ,'hs-lc0418b008'         ,                     ,'Ajuste de pin selector; reparación de pin para peso adicional'     ,9/5/2019
 ,'Caminadora integrity'       ,'ns hht121897'          ,                     ,'Instalación de tablero hct 102448'                                 ,9/18/2019
 ,'Caminadora integrity'       ,'ns hht121894'          ,                     ,'Instalación de cable; key pad; kit emsamble; buiuf izquierdo'      ,9/18/2019
 ,'3 Cross over (doble polea)' ,                        ,                     ,'Ajuste de tornilleria con loktine '                                ,9/27/2019
 ,'Calf extension '            ,'f2cf031401'            ,                     ,'Ajuste de tuerca de cable de stack de peso'                        ,9/27/2019
 ,'Seated leg curl'            ,                        ,'hsslc0118b28'       ,'Ajuste de tuerca de cable de stack de peso'                        ,9/27/2019
 ,'Hip & glute'                ,                        ,'pshgse0314002'      ,'Lubricación de guis de peso '                                      ,9/27/2019
 ,'Glute insignia'             ,                        ,                     ,'Lubricación de guias de zancada'                                   ,8/27/2019
 ,'Plataforma de power rack '  ,                        ,                     ,'Ajuste de gancho'                                                  ,9/27/2019
