'ZONA DE CAMINADORAS'   ,                                                 ,                  ,                    ,                    ,              ,
'N°'                    ,'DESCRIPCIÓN'                                    ,'MARCA'           ,'MODELO'            ,'N° SERIE'          ,'PERIODO'     ,'ACTIVO FIJO'
1                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL148800'         ,'OT 2013'     ,'AF/014264'
2                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL150480'         ,'OT 2013'     ,'AF/014270'
3                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL149874'         ,'OT 2013'     ,'AF/014266'
4                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL151435'         ,'OT 2013'     ,'AF/014271'
5                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL150479'         ,'OT 2013'     ,'AF/014269'
6                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL148799'         ,'OT 2013'     ,'AF/014265'
7                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL150489'         ,'OT 2013'     ,'AF/014268'
8                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL150488'         ,'OT 2013'     ,'AF/014267'
9                       ,'CAMINADORA  FLEXDECK'                           ,'Life Fitness'    ,'PV-INTEGRITY-CLST' ,'CLL179135'         ,'OT 2013'     ,'AF/019988'
10                      ,'CAMINADORA INTEGRITY SERIES TREADMILL'          ,'Life Fitness'    ,'PV-INTDX-ALLXXS'   ,'HHT121874'         ,'VR 2019'     ,
11                      ,'CAMINADORA INTEGRITY SERIES TREADMILL'          ,'Life Fitness'    ,'PV-INTDX-ALLXXS'   ,'HHT121896'         ,'VR 2019'     ,
12                      ,'CAMINADORA INTEGRITY SERIES TREADMILL'          ,'Life Fitness'    ,'PV-INTDX-ALLXXS'   ,'HHT121897'         ,'VR 2019'     ,
13                      ,'CAMINADORA INTEGRITY SERIES TREADMILL'          ,'Life Fitness'    ,'PV-INTDX-ALLXXS'   ,'HHT121560'         ,'VR 2019'     ,
14                      ,'CAMINADORA INTEGRITY SERIES TREADMILL'          ,'Life Fitness'    ,'PV-INTDX-ALLXXS'   ,'HHT121898'         ,'VR 2019'     ,
15                      ,'CAMINADORA INTEGRITY SERIES TREADMILL'          ,'Life Fitness'    ,'PV-INTDX-ALLXXS'   ,'HHT121558'         ,'VR 2019'     ,
16                      ,'CAMINADORA INTEGRITY SERIES TREADMILL'          ,'Life Fitness'    ,'PV-INTDX-ALLXXS'   ,'HHT121893'         ,'VR 2019'     ,
